交易日期,股票代码,股票名称,池类型,市场类型,当前价,涨跌幅%,连板天数,涨停标签,涨停状态,首次涨停时间,最后涨停时间,炸板时间,炸板次数,封单金额,封单量,换手率%,成交额,流通市值,涨停原因,所属行业
2026-04-06,603843.SH,*ST正平,涨停池,ST,2.39,4.8246,2,2天2板,一字板,15:00:00,15:00:00,,0,10825318.6,4529422.0,8.0477,134565070.0,1672099500.0,基建+算力+有色金属+ST板块,
2026-04-06,603610.SH,麒盛科技,涨停池,HS,15.04,10.0219,4,4天4板,换手板,09:58:49,15:00:00,,3,24706043.0,1642689.0,24.6547,1265755970.0,5391678300.0,脑机接口+智能电动床+鸿蒙+外销,
2026-04-06,603389.SH,*ST亚振,涨停池,ST,7.44,4.9365,4,4天4板,一字板,15:00:00,15:00:00,,0,23876946.0,3209267.0,1.1399,22283046.0,1954874900.0,一季度营收增长+控股股东变更+家居+ST板块,
2026-04-06,603261.SH,*ST立航,涨停池,ST,17.71,4.9793,4,4天4板,一字板,15:00:00,15:00:00,,0,14316764.0,808400.0,0.5196,7131817.0,1372613900.0,一季报增长+成飞概念+军工+ST板块,
2026-04-06,600753.SH,*ST庚星,涨停池,ST,5.54,4.9242,3,3天2板,一字板,15:00:00,15:00:00,,0,7491980.2,1352343.0,0.9647,12309087.8,1275901750.0,拟增持+一季报减亏+充电桩运营+ST板块,
2026-04-06,600193.SH,*ST创兴,涨停池,ST,3.61,4.9419,4,4天4板,一字板,15:00:00,15:00:00,,0,31063220.0,8604770.0,0.5292,8125857.3,1535596500.0,算力+稀土永磁+建筑装饰,
2026-04-06,002825.SZ,纳尔股份,涨停池,HS,10.96,10.0402,1,首板,换手板,09:32:39,14:55:24,,6,12418863.7,1133108.0,14.2311,403380180.0,2852580600.0,一季报增长+芯片概念+氢能源,
2026-04-06,000820.SZ,*ST节能,涨停池,ST,2.16,4.8544,1,首板,换手板,10:33:00,14:54:51,,6,188568.0,87300.0,5.5698,34922992.0,635108900.0,节能环保+此前签大单,
2026-04-06,002651.SZ,利君股份,涨停池,HS,8.94,9.9631,3,3天3板,换手板,09:30:09,14:53:57,,12,19427514.0,2173100.0,28.0151,1403491000.0,5055245000.0,航空零部件+大飞机+军工+机器人,
2026-04-06,600696.SH,*ST岩石,涨停池,ST,6.0,5.0788,1,首板,换手板,10:31:41,14:51:20,,1,6549600.0,1091600.0,6.7202,131503258.0,2006816600.0,超跌反弹+ST板块+白酒+电商,
2026-04-06,002338.SZ,奥普光电,涨停池,HS,51.65,10.0106,3,3天3板,换手板,09:37:24,14:45:12,,7,41252855.0,798700.0,26.4274,3214484200.0,12396000000.0,签订2.97亿元光学系统研制合同+大股东长春光机所,
2026-04-06,002598.SZ,山东章鼓,涨停池,HS,11.57,9.981,2,2天2板,换手板,14:42:06,14:42:06,,0,51215762.0,4426600.0,23.7228,742916860.0,3263674600.0,固态电池+磁悬浮技术产品+物流搬运机器人+国企,
2026-04-06,600165.SH,ST宁科,涨停池,ST,5.12,4.918,2,2天2板,换手板,10:11:00,14:38:51,,1,4153856.0,811300.0,3.2331,112477918.0,3506604900.0,ST板块+撤销退市风险警示+长链二元酸+复工复产,
